"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"1","1-800 CONTACTS","Health Services","Health","Optical services (glasses & contact lenses)",100,0,"#0000FFAF","#0000FFAF",8500
"10021","ANESTHESIA SERVICE MEDICAL GROUP / CALIFORNIA ANESTHESIA ASSOCIATES","Health Professionals","Health","Other physician specialists",90.1960784313726,9.80392156862745,"#0000CCAF","#0000CCAF",10200
"10041","ANTHEM INC","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",70.2160493827161,29.7839506172839,"#000066AF","#000066AF",64800
"10047","APARTMENT ASSOCIATION OF CALIFORNIA SOUTHERN CITIES","Real Estate","Finance, Insurance & Real Estate","Building operators & managers",54.4642857142857,45.5357142857143,"#000014AF","#000014AF",11200
"10063","APPLIED MATERIALS","Computer Equipment & Services","Communications & Electronics","Computers, components & accessories",41.9753086419753,58.0246913580247,"#2E0000AF","#2E0000AF",16200
"10080","ARCHEON INTERNATIONAL GROUP","Construction Services","Construction","Architectural services",100,0,"#0000FFAF","#0000FFAF",2000
"10128","ASSOCIATION FOR LOS ANGELES DEPUTY SHERIFFS","Public Sector Unions","Labor","Police & fire fighters unions and associations",100,0,"#0000FFAF","#0000FFAF",7600
"10131","ASSOCIATION OF CALIFORNIA STATE SUPERVISORS","Public Sector Unions","Labor","State & local government employee unions",80.7017543859649,19.2982456140351,"#000099AF","#000099AF",28500
"10149","ASTELLAS PHARMA","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",54.7169811320755,45.2830188679245,"#000014AF","#000014AF",21200
"1020","UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL UNION / UFCW","General Trade Unions","Labor","Retail trade unions",100,0,"#0000FFAF","#0000FFAF",10200
"10223","BANK OF STOCKTON","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",0,100,"#FF0000AF","#FF0000AF",750
"1025","FORD MOTOR CO","Automotive","Transportation","Auto manufacturers",82.3529411764706,17.6470588235294,"#0000A3AF","#0000A3AF",17000
"10358","BERRY PETROLEUM","Oil & Gas","Energy & Natural Resources","Oil & gas",25,75,"#800000AF","#800000AF",4000
"1039","NEXTERA ENERGY","Miscellaneous Energy","Energy & Natural Resources","Alternative energy production & services",54.4642857142857,45.5357142857143,"#000014AF","#000014AF",11200
"10395","SAN DIEGO BIOTECHNOLOGY","Pharmaceuticals & Health Products","Health","Biotech products & research",72.7272727272727,27.2727272727273,"#000070AF","#000070AF",11000
"10450","BLUE SHIELD OF CALIFORNIA","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",57.2261072261072,42.7738927738928,"#000024AF","#000024AF",85800
"105204","ROUDA FEDER TIETJEN & MCGUINN","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",100,0,"#0000FFAF","#0000FFAF",6400
"10653536","VERTEX PHARMACEUTICALS","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",33.3333333333333,66.6666666666667,"#570000AF","#570000AF",3000
"10670","BURRTEC WASTE INDUSTRIES","Waste Management","Energy & Natural Resources","Waste management",0,100,"#FF0000AF","#FF0000AF",13100
"10675006","TRACFONE WIRELESS","Telecom Services & Equipment","Communications & Electronics","Paging & cellular phones and services",44.8275862068966,55.1724137931034,"#1F0000AF","#1F0000AF",14500
"10707","CALIFORNIA ACADEMY OF EYE PHYSICIANS & SURGEONS","Health Professionals","Health","Optometrists & ophthalmologists",84.4559585492228,15.5440414507772,"#0000ADAF","#0000ADAF",19300
"10708","CALIFORNIA ACADEMY OF FAMILY PHYSICIANS","Health Professionals","Health","Physicians",91.2280701754386,8.7719298245614,"#0000D1AF","#0000D1AF",17100
"10710","CALIFORNIA ACADEMY OF PHYSICIAN ASSISTANTS","Health Professionals","Health","Other non-physician health practitioners",100,0,"#0000FFAF","#0000FFAF",15800
"10713","CALIFORNIA ALARM ASSOCIATION","Business Services","General Business","Security services",37.5,62.5,"#420000AF","#420000AF",8000
"10716","CALIFORNIANS ALLIED FOR PATIENT PROTECTION","Health & Welfare Policy","Ideology/Single Issue","Health & welfare policy",80.2872541327772,19.7127458672228,"#000099AF","#000099AF",45655.74
"10717","CALIFORNIA AMBULANCE ASSOCIATION","Health Services","Health","Health care services",86.970684039088,13.0293159609121,"#0000B8AF","#0000B8AF",15350
"10721","CALIFORNIA ASSISTED LIVING ASSOCIATION","Hospitals & Nursing Homes","Health","Nursing homes",92.5187032418953,7.48129675810474,"#0000D6AF","#0000D6AF",40100
"10723","CALIFORNIA ASSOCIATION OF NURSE PRACTITIONERS","Health Professionals","Health","Nurses",90.4761904761905,9.52380952380952,"#0000CCAF","#0000CCAF",10500
"10725","CALIFORNIA ASSOCIATION OF COLLECTORS","Miscellaneous Finance","Finance, Insurance & Real Estate","Credit reporting services & collection agencies",60,40,"#000033AF","#000033AF",15000
"10726","CALIFORNIA ASSOCIATION OF COMMUNITY MANAGERS","Civil Servants/Public Officials","Government Agencies/Education/Other","Municipal & county government organizations",100,0,"#0000FFAF","#0000FFAF",9000
"10731","CALIFORNIA ASSOCIATION OF ORAL & MAXILLOFACIAL SURGEONS","Health Professionals","Health","Dentists",50,50,"#000000AF","#000000AF",2000
"10733","CALIFORNIA ASSOCIATION OF PHYSICIAN GROUPS","Health Professionals","Health","Health professionals",70.6896551724138,29.3103448275862,"#000066AF","#000066AF",17400
